openTime,openTimeIso,open,high,low,close,volume
1785681600000,2026-08-02T14:40:00.000Z,63133.32000000,63162.75000000,63133.31000000,63156.54000000,38.04134000
1785681900000,2026-08-02T14:45:00.000Z,63156.54000000,63156.54000000,63127.23000000,63127.24000000,17.84519000
1785682200000,2026-08-02T14:50:00.000Z,63127.24000000,63127.24000000,63066.31000000,63066.32000000,18.42064000
1785682500000,2026-08-02T14:55:00.000Z,63066.31000000,63073.73000000,63066.31000000,63069.37000000,7.11214000
1785682800000,2026-08-02T15:00:00.000Z,63069.37000000,63090.00000000,63050.00000000,63056.38000000,21.91257000
1785683100000,2026-08-02T15:05:00.000Z,63056.38000000,63103.83000000,63056.38000000,63100.00000000,22.27639000
1785683400000,2026-08-02T15:10:00.000Z,63099.99000000,63124.00000000,63099.99000000,63124.00000000,8.41136000
1785683700000,2026-08-02T15:15:00.000Z,63124.00000000,63136.99000000,63102.03000000,63117.00000000,31.36851000
1785684000000,2026-08-02T15:20:00.000Z,63117.00000000,63117.00000000,63110.16000000,63110.16000000,14.96578000
1785684300000,2026-08-02T15:25:00.000Z,63110.16000000,63126.00000000,63102.04000000,63126.00000000,21.42845000
1785684600000,2026-08-02T15:30:00.000Z,63125.99000000,63186.00000000,63125.99000000,63172.00000000,19.77649000
1785684900000,2026-08-02T15:35:00.000Z,63172.00000000,63172.00000000,63141.99000000,63142.00000000,7.55169000
1785685200000,2026-08-02T15:40:00.000Z,63142.00000000,63150.00000000,63132.01000000,63149.99000000,8.82137000
1785685500000,2026-08-02T15:45:00.000Z,63149.99000000,63150.00000000,63134.69000000,63134.69000000,7.15777000
1785685800000,2026-08-02T15:50:00.000Z,63134.70000000,63134.70000000,63125.99000000,63126.00000000,17.72728000
1785686100000,2026-08-02T15:55:00.000Z,63125.99000000,63126.00000000,63109.13000000,63109.14000000,9.65566000
1785686400000,2026-08-02T16:00:00.000Z,63109.13000000,63117.64000000,63064.01000000,63092.43000000,31.91515000
1785686700000,2026-08-02T16:05:00.000Z,63092.42000000,63123.55000000,63084.30000000,63123.55000000,13.94087000
1785687000000,2026-08-02T16:10:00.000Z,63123.55000000,63135.96000000,63103.99000000,63104.00000000,10.99411000
1785687300000,2026-08-02T16:15:00.000Z,63104.00000000,63104.00000000,63080.01000000,63080.01000000,17.42149000
1785687600000,2026-08-02T16:20:00.000Z,63080.00000000,63132.00000000,63078.00000000,63132.00000000,12.60517000
1785687900000,2026-08-02T16:25:00.000Z,63132.00000000,63132.00000000,63094.23000000,63110.00000000,12.46513000
1785688200000,2026-08-02T16:30:00.000Z,63110.00000000,63187.42000000,63103.76000000,63181.03000000,39.20330000
